"","col1","col2"
"15198","Закупка завершена","Поставка автомобилей легковых"
"15199","Работа комиссии","Поставка легковых автомобилей"
"15200","Закупка завершена","Приобретение автомобиля Форд Фокус"
"15201","Закупка завершена","Приобретение автомашины для нужд Администрации Кинешемского муниципального района"
"15202","Закупка завершена","поставка легкового автомобиля"
"15203","Закупка отменена","Поставка автомобиля"
"15204","Закупка завершена","Поставка самосвала с трехсторонней разгрузкой (Реестровый номер ""31.0115.15"")"
"15205","Закупка завершена","Поставка автомобиля легкового Renault Duster или эквивалент"
"15206","Закупка завершена","Поставка автобуса для перевозки детей для Муниципального казенного учреждения ""Школа № 15"" С.Демарино"
"15207","Закупка завершена","Поставка автобуса"
"15208","Закупка завершена","Поставка двух школьных автобусов для нужд МБОУ ""Полазненская средняя общеобразовательная школа №3"""
"15209","Закупка завершена","Приобретение автомобиля"
"15210","Закупка завершена","поставка автомобиля УАЗ-390945 (фермер) для организации ритуальных услуг для нужд Балахнинского МО"
"15211","Закупка завершена","Поставка школьного автобуса"
"15212","Закупка завершена","Поставка легковых автомобилей Volkswagen Polo или эквивалент."
"15213","Закупка завершена","Приобретение микроавтобуса для мобильного консультационного центра Министерства торговли, инвестиций и предпринимательства Республики Дагестан"
"15214","Закупка завершена","Легковой автомобиль"
"15215","Закупка завершена","Поставка автотранспорта для нужд ФГБУ «СПб НИИФ» Минздрава России в 2017 году"
"15216","Закупка завершена","Поставка транспортного средства"
"15217","Закупка завершена","Поставка туристического микроавтобуса для нужд МОУДОД «Серебряно-Прудский Дом детского творчества»"
"15218","Закупка завершена","Поставка легкового автомобиля для нужд ГОКУ ""Мончегорский межрайонный ЦСПН"""
"15219","Закупка завершена","Приобретение нового, не бывшего в эксплуатации легкового автомобиля GEELY EMGRAND для служебных нужд"
"15220","Закупка завершена","Поставка автомобиля для передвижной экспресс-лаборатории для нужд ФГБУ «ИМЦЭУАОСМП» Росздравнадзора"
"15221","Закупка завершена","Поставка автомобиля"
"15222","Работа комиссии","ПОСТАВКА ШКОЛЬНОГО АВТОБУСА ДЛЯ МУНИЦИПАЛЬНОГО БЮДЖЕТНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА№ 1 СЕЛА КАЛИКИНО ДОБРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛИПЕЦКОЙ ОБЛАСТИ"
"15223","Закупка завершена","Электронный аукцион на право заключения государственного контракта на приобретение легковых автомобилей для отбора проб"
"15224","Закупка завершена","поставка автомобилей для нужд налоговых органов Мурманской области"
"15225","Закупка завершена","поставка легкового автомобиля для нужд ЛОГКУ ""Кингисеппский ДИ"" в 2014 году."
"15226","Закупка завершена","Поставка автомобиля"
"15227","Закупка завершена","Поставка легкового автомобиля."
"15228","Работа комиссии","поставка автомобиля (996-ЭА)"
"15229","Работа комиссии","Поставка автофургона по Гособоронзаказу в 2014 году"
"15230","Закупка завершена","Поставка автомобилей LADA Granta 21901-41-014 (или эквивалент)"
"15231","Закупка завершена","Поставка легкового автомобиля для МБУЗ «ЦРБ» ТР"
"15232","Закупка завершена","Автомобиль с краном-манипулятором"
"15233","Закупка завершена","Приобретение школьного автобуса для ежедневного подвоза обучающихся к месту обучения и обратно"
"15234","Закупка завершена","Поставка транспортного средства"
"15235","Закупка завершена","Поставка междугороднего автобуса"
"15236","Закупка завершена","Поставка легкового автомобиля"
"15237","Закупка завершена","Поставка фургонов цельнометаллических (4 штуки) в 2016 г."
"15238","Закупка завершена","Поставка микроавтобуса"
"15239","Закупка завершена","Поставка легкового автомобиля (пикап) для нужд муниципального казенного учреждения города Новосибирска ""Новосибирский центр по проблемам домашних животных"""
"15240","Закупка завершена","Поставка грузового автомобиля для нужд Университета машиностроения"
"15241","Работа комиссии","Автобус малого класса для перевозки детей-инвалидов марки ГАЗ 322121 или эквивалент, оснащенный средствами навигации и тахографом"
"15242","Закупка завершена","Закупка легкового автомобиля для нужд государственного бюджетного учреждения социального обслуживания Владимирской области ""Меленковский комплексный центр социального обслуживания населения"""
"15243","Работа комиссии","Поставка автомобиля легкового повышенной проходимости, типа 4х4, с цельнометаллическим пятидверным кузовом.(Регистрационный номер 09-05/10639)"
"15244","Закупка завершена","Поставка пассажирского микроавтобуса для нужд ГБУДО РД «Детско-юношеская спортивная школа «Энергия»"
"15245","Закупка завершена","Электронный аукцион № 123/14 на право заключения контракта на поставку транспортного средства – микроавтобуса (Поставка Заказчику транспортного средства - микроавтобуса в соответствии со Спецификацией, согласно требованиям, указанным в Техническом задании.)"
"15246","Работа комиссии","Аукцион в электронной форме на право заключить контракт на поставку автомобиля для нужд БУ ""Мариинско-Посадская ЦРБ им.Н.А.Геркена"" Минздравсоцразвития Чувашии"
"15247","Закупка завершена","899ЭА-2-16. Поставка легкового автомобиля"
"15248","Закупка завершена","Поставка автомобиля повышенной проходимости"
"15249","Работа комиссии","Приобретение легкового автомобиля"
"15250","Закупка завершена","Поставка транспортных средств"
"15251","Работа комиссии","«Легковой  автомобиль повышенной проходимости»"
"15252","Работа комиссии","Поставка автотранспорта."
"15253","Закупка завершена","Приобретение автомобиля бортового повышенной проходимости УАЗ 390945 - 440 ""Фермер"" или эквивалент"
"15254","Закупка завершена","на право заключить муниципальный контракт на приобретение нового легкового автомобиля для Нижнебайгорского сельского поселения Верхнехавского района Воронежской области"
"15255","Закупка завершена","Закупка легковых автомобилей для обеспечения государственных нужд в 2016 году"
"15256","Закупка завершена","Поставка автомобилей для Администрации городского округа Щербинка."
"15257","Закупка завершена","Поставка грузопассажирского автотранспорта для сотрудников коммерческого учета ЗАО"
"15258","Закупка завершена","Поставка автомобиля"
"15259","Закупка завершена","Приобретение нового легкового автомобиля для муниципальных нужд муниципального казенного учреждения ""Центр обслуживания образовательных учреждений Сараевского муниципального района"""
"15260","Закупка завершена","Определение поставщика транспортного средства"
"15261","Закупка завершена","легковые автомобили"
"15262","Закупка завершена","Приобретение автомобиля внедорожника"
"15263","Закупка завершена","Поставка легкового автомобиля для ГПОУ ""Училище (колледж) олимпийского резерва Тульской области"""
"15264","Закупка завершена","Аукцион на право заключения государственного контракта на поставку автомобиля для нужд ГБОУ ГСГ"
"15265","Закупка завершена","Поставка автомобиля Эконом Класса"
"15266","Закупка завершена","Поставка автомобилей"
"15267","Закупка завершена","Поставка автобуса для спортсменов"
"15268","Закупка завершена","Средства автотранспортные"
"15269","Закупка завершена","Поставка пассажирского микроавтобуса"
"15270","Закупка завершена","Поставка автомобиля УАЗ 29892 (или эквивалент)"
"15271","Закупка завершена","Поставка пассажирского автобуса"
"15272","Закупка завершена","Поставка микроавтобуса пассажирского для ГБУК г. Москвы ""Московский театр иллюзии"""
"15273","Закупка завершена","поставка автомобиля"
"15274","Закупка завершена","Поставка легкового автомобиля"
"15275","Работа комиссии","Поставка легкового автомобиля Ford Mondeo Sedan Titanium или эквивалент"
"15276","Закупка завершена","Автомобиль повышенной проходимости"
"15277","Закупка завершена","Поставка школьного автобуса ПАЗ-4234-70 (или эквивалент)"
"15278","Работа комиссии","поставка автомобиля"
"15279","Закупка завершена","Поставка специального автобуса для перевозки детей"
"15280","Закупка завершена","Поставка автомобилей, KIA Cerato в комплектации Luxe MT (или эквивалент)"
"15281","Закупка завершена","поставка легкового автомобиля для нужд ГБОУ школа-интернат № 2 г. Сочи"
"15282","Закупка завершена","Поставка автотранспортного средства для нужд Федерального государственного бюджетного научно-исследовательского учреждения «Российский научно-исследовательский институт культурного и природного наследия имени Д.С. Лихачева»"
"15283","Работа комиссии","Поставка автомобиля для нужд Клиники ГБОУ ВПО БГМУ Минздрава России"
"15284","Закупка завершена","Микроавтомобиль карт"
"15285","Работа комиссии","закупка автотранспортных средств"
"15286","Закупка завершена","Поставка легкового автомобиля  для нужд Администрации Васисского сельского поселения Таоского муниципального района Омской области  по программе ""Утилизация"""
"15287","Закупка завершена","Поставка автомобиля легкового УАЗ 390995-440 фургон грузо-пассажирский или эквивалента"
"15288","Закупка завершена","Поставка автомобиля легкового в количестве 1 шт. для нужд ФГБУ ""СОГООХ"", согласно техническому заданию."
"15289","Закупка завершена","Поставка автомобиля для нужд краевого государственного бюджетного общеобразовательного учреждения, реализующего адаптированные основные общеобразовательные программы ""Школа-интернат №1"""
"15290","Закупка завершена","Поставка легкового автомобиля для нужд Государственного казённого учреждения Чукотского автономного округа ""Управление автомобильных дорог Чукотского автономного округа"""
"15291","Закупка завершена","Приобретение транспортных средств"
"15292","Закупка завершена","Поставка микроавтобуса"
"15293","Закупка завершена","ПОСТАВКА АВТОМОБИЛЯ"
"15294","Закупка завершена","Легковой автомобиль"
"15295","Закупка завершена","Поставка автомобиля Niva Chevrolet LC (или эквивалент)"
"15296","Закупка завершена","Приобретение низкопольного автобуса для нужд Покровского района Орловской области"
"15297","Закупка завершена","Поставка служебного автомобиля для нужд администрации Балансуйского сельского поселения"
"15298","Закупка завершена","Поставка легкового автомобиля"
"15299","Закупка завершена","Поставка легкового автомобиля"
"15300","Закупка завершена","Приобретение микроавтобуса"
"15301","Закупка завершена","Поставка легковых автомобилей, оборудованных средствами управления для застрахованных лиц, получивших повреждение здоровья вследствие несчастных случаев на производстве и профессиональных заболеваний"
"15302","Закупка завершена","на право заключения контракта на поставку автомобилей скорой медицинской помощи."
"15303","Закупка завершена","Поставка легкового автомобиля для нужд ГУ ""Вуктыльское лесничество"""
"15304","Закупка завершена","Поставка автомобиля и дополнительного оборудования"
"15305","Работа комиссии","№12-07/3567-14 осуществление закупки автомобиля"
"15306","Закупка завершена","Поставка транспортного средства (автомобиль)"
"15307","Закупка завершена","Поставка грузопассажирских автомобилей для нужд МБУ «Городское лесничество»"
"15308","Работа комиссии","Поставка автомобилей класса К (внедорожники)"
"15309","Закупка завершена","поставка автомобилей"
"15310","Закупка отменена","Поставка саниратных автомобилей"
"15311","Работа комиссии","№ 15 - ЭА 1 - 1748: легковой автомобиль"
"15312","Закупка завершена","Поставка автобуса малого класса для перевозок детей"
"15313","Закупка завершена","Поставка автомобиля  УАЗ ""Патриот"" или эквивалент для филиала-24 отряда ФКУ ""ГУ"" ВО Минфина России"" г. Чита"
"15314","Закупка завершена","Поставка легкового автомобиля для нужд университета."
"15315","Закупка завершена","Поставка автотранспортных средств"
"15316","Закупка завершена","Поставка автомобиля для нужд Администрации Пластовского городского поселения"
"15317","Закупка завершена","Поставка автомобиля для нужд Управления Роскомнадзора по Удмуртской Республике"
"15318","Закупка завершена","Поставка легкового автомобиля Volkswagen Jetta Trendline"
"15319","Закупка завершена","Поставка автомобиля (рефрижератора) для нужд Государственного бюджетного учреждения здравоохранения Самарской области ""Самарская медико-санитарная часть № 5 Кировского района"""
"15320","Закупка завершена","№15-06/3523-16 Автобус для перевозки сотрудников до места работы"
"15321","Закупка завершена","Поставка легкового автомобиля"
"15322","Закупка завершена","Поставка оперативно-служебного автомобиля"
"15323","Закупка завершена","Поставка легкового автомобиля"
"15324","Закупка завершена","поставка легкового автомобиля"
"15325","Закупка завершена","Поставка автомобиля ГАЗ (европлатформа) или ""эквивалент"" для нужд администрации муниципального образования Старобжегокайское сельское поселение"
"15326","Закупка завершена","Покупка легкового автомобиля"
"15327","Закупка завершена","Поставка автомобиля Great Wall Hover H5, комплектации Luxe 2.4 MT или «эквивалент»"
"15328","Закупка завершена","Поставка легкового автомобиля"
"15329","Закупка завершена","Поставка легкового автомобиля"
"15330","Закупка завершена","Электронный аукцион на право заключения государственного контракта на поставку автомобилей на грузовом шасси грузоподъемностью до 8 тонн для нужд Федеральной службы Российской Федерации по контролю за оборотом наркотиков в 2015 году"
"15331","Закупка завершена","поставка автомобиля"
"15332","Закупка завершена","Поставка автомобиля легкового для нужд Южного СУТ СК России"
"15333","Закупка завершена","поставка автомобиля"
"15334","Закупка завершена","Поставка легкового автомобиля для нужд Межрайонной ИФНС России № 7 по Чувашской Республике"
"15335","Закупка завершена","Поставка автомобиля повышенной проходимости для нужд ГКУ «Управление автомобильных дорог Республики Тыва»"
"15336","Закупка завершена","автобус года выпуска"
"15337","Закупка завершена","Поставка мусоровозов с боковой загрузкой"
"15338","Закупка завершена","Поставка автомобиля для нужд Государственного бюджетного учреждения здравоохранения Самарской области «Самарская стоматологическая поликлиника № 3 Советского района»"
"15339","Закупка завершена","Приобретение и поставка автобуса общественного пользования"
"15340","Работа комиссии","Открытый аукцион в электронной форме на право заключения контракта на оказание транспортных услуг грузовыми автотранспортом и грузопассажирскими микроавтобусами для ГБУЗ ""МНПЦ наркологии ДЗМ"""
"15341","Работа комиссии","5757-2/2014 сб. Поставка легкового автомобиля"
"15342","Закупка завершена","Поставка легкового автомобиля"
"15343","Закупка завершена","Открытый аукцион в электронной форме на поставку автомобиля."
"15344","Закупка завершена","Приобретение легкового автомобиля"
"15345","Закупка завершена","Поставка автомобиля для нужд Управления Федеральной службы государственной регистрации, кадастра и картографии по Тульской области"
"15346","Закупка завершена","Поставка автомобиля Renault Logan или эквивалент"
"15347","Закупка завершена","Приобретение легкового автомобиля для нужд Администрации Октябрьского муниципального района"
"15348","Закупка завершена","Поставка легковых автомобилей для нужд УФНС России по Новосибирской области"
"15349","Работа комиссии","Поставка автомобилей RENAULT DUSTER (или эквивалент)"
"15350","Закупка завершена","На поставку легкового автомобиля для нужд Муниципального бюджетного учреждения Многофункциональный центр предоставления государственных и муниципальных услуг Даниловского муниципального района Волгоградской области"
"15351","Закупка завершена","Поставка легкового автомобиля для нужд Волосовского РКСЗН"
"15352","Закупка завершена","Поставка транспортного средства"
"15353","Закупка завершена","Поставка легкового автомобиля (внедорожник)"
"15354","Закупка завершена","Поставка легкового автомобиля"
"15355","Закупка завершена","Приобретение и поставка автомобиля CHEVROLET NIVA LC или эквивалент"
"15356","Закупка завершена","Поставка легкового автомобиля для нужд Государственного бюджетного учреждения ветеринарии Тверской области «Вышневолоцкая станция по борьбе с болезнями животных»"
"15357","Закупка завершена","Поставка служебного легкового автомобиля для нужд Счетной палаты Республики Крым"
"15358","Закупка завершена","Поставка автобуса школьного для нужд МБОУ ""Полазненская средняя общеобразовательная школа №3"""
"15359","Закупка завершена","Электронный аукцион на право заключения контракта на поставку нового автобуса малого класса для городских и пригородных перевозок для нужд ФГБУ ""Дом отдыха ""Валдай"" УДП РФ"
"15360","Закупка завершена","Поставка микроавтобуса ГАЗ 32212 Газель Бизнес (или эквивалент) для нужд администрации Сарашевского сельского поселения Бардымского муниципального района Пермского края"
"15361","Закупка завершена","Поставка автомобиля для МКУ «Эксплуатационное управление»"
"15362","Закупка завершена","Поставка автобуса низкопольного городского (Реестровый номер: 4408Э-02/14сб)"
"15363","Закупка завершена","Поставка автобуса не менее 17 мест"
"15364","Закупка завершена","поставка легкового автомобиля"
"15365","Закупка завершена","Приобретение автомобиля NISSAN X -Trail (или эквивалент) для управления социально-экономического развития села Вологодского муниципального района"
"15366","Закупка завершена","Поставка легкового автомобиля"
"15367","Закупка завершена","Аукцион в электронной форме на право заключения муниципального контракта на поставку легкового автомобиля для нужд администрации Большесундырского сельского поселения Моргаушского района Чувашской Республики"
"15368","Закупка завершена","Поставка автомобиля УАЗ-220695-04 для нужд Муниципального бюджетного учреждения Муниципального образования ""Город Вышний Волочек"" ""Благоустройство"""
"15369","Закупка завершена","Поставка легкового автомобиля для нужд администрации Пушкинского муниципального образования Советского муниципального района Саратовской области"
"15370","Закупка завершена","поставка автомобиля"
"15371","Закупка завершена","Поставка автомобиля УАЗ-390995 (или эквивалент) для нужд Муниципального казенного учреждения ""Централизованная бухгалтерия муниципальных учреждений МО Среднеколымский улус (район)"""
"15372","Закупка завершена","Поставка легкового автомобиля УАЗ 315195 «Хантер» или эквивалент."
"15373","Закупка завершена","715ЭА-2-15. Поставка легкового автомобиля для нужд ГБУЗ НО «Дзержинский перинатальный центр»"
"15374","Закупка завершена","Поставка грузопассажирского фургона"
"15375","Работа комиссии","Поставка легкового автомобиля"
"15376","Закупка завершена","Поставка автомобиля Chevrolet Niva GLC (или эквивалент) в количестве 2-х штук."
"15377","Закупка завершена","Закупка легковых автомобилей. Описание объекта закупки содержится в «Техническом задании» (Приложение № 2 к аукционной документации) - прикрепленный файл"
"15378","Закупка завершена","Поставка автомобилей Hyundai Santa Fe (эквивалент)"
"15379","Закупка завершена","Поставка автомобиля легкового для нужд финансового управления администрации Еманжелинского муниципального района."
"15380","Закупка завершена","приобретение легкового автомобиля УАЗ-Хантер (или эквивалент) для нужд администрации Белоярского сельского поселения"
"15381","Закупка завершена","Автомобиль отечественного производства"
"15382","Закупка завершена","Приобретение служебных автомобилей  "
"15383","Работа комиссии","поставка легкового автомобиля (фургон)  для нужд  ГБПОУ РД Училище олимпийского резерва 2484"
"15384","Закупка завершена","Поставка легкового автомобиля для нужд администрации Чалбачинского сельсовета Зейского района Амурской области"
"15385","Закупка завершена","Поставка легкового поисково-спасательного автомобиля быстрого реагирования"
"15386","Закупка завершена","Приобретение нового легкового автомобиля для нужд Отдела социальной защиты населения Администрации муниципального образования Лодейнопольский муниципальный район Ленинградской области"
"15387","Закупка завершена","Поставка полноприводного легкового автомобиля"
"15388","Закупка завершена","Поставка автобуса для подвоза учащихся МОУ Архангельская СОШ"
"15389","Закупка завершена","Поставка автомобиля УАЗ - 390945 (фермер бортовой) или эквивалент в МО ""Городское поселение ""Рабочий поселок Искателей"""
"15390","Закупка завершена","Закупка автомобиля Renault Logan PRIVILEGE 102 л. с. или эквивалент для нужд МОУ Фировская СОШ"
"15391","Закупка завершена","Поставка передвижного поста весового контроля"
"15392","Работа комиссии","Грузовой автомобиль грузоподъемностью до 2-х тонн"
"15393","Закупка завершена","Поставка автомобиля"
"15394","Закупка завершена","Поставка микроавтобуса (Реестровый номер: 1028Э-07/16сб)"
"15395","Закупка завершена","Приобретение легкового автомобиля для нужд Администрации  Сулеинского городского поселения."
"15396","Закупка завершена","Поставка автобусов для нужд ГБУ ""Автомобильные дороги СЗАО"""
"15397","Закупка завершена","Поставка автомобиля"
"15398","Закупка завершена","173. Купля-продажа транспортного средства"
"15399","Закупка завершена","Поставка легкового автомобиля для нужд МКУ «Служба по обеспечению деятельности органов местного самоуправления»"
"15400","Закупка завершена","Государственное казенное учреждение Саратовской области ""Государственное агентство по централизации закупок"" объявляет аукцион в электронной форме на определение поставщика товара «Легковой автомобиль» для нужд Государственного учреждения здравоохранения Саратовской области «Хвалынская районная больница имени Бржозовского» министерства здравоохранения Саратовской области"
"15401","Закупка завершена","Поставка легкового автомобиля."
"15402","Закупка завершена","Поставка легкового автомобиля для Управления Судебного департамента в Омской области."
"15403","Закупка завершена","Приобретение специализированного автотранспорта, оснащенного оборудованием для передвижных выставок для ГБУК РО «Волгодонский эколого-исторический музей»"
"15404","",""
"15405","Закупка завершена","электронный аукцион на право заключить муниципальный контракт на приобретение легкового автомобиля для муниципального бюджетного учреждения «Верхняя Хава - информационно-консультационный центр»"
"15406","Закупка завершена","Приобретение автомашины Ford EDGE или эквивалент для нужд Департамента по недропользованию по Северо-Кавказскому федеральному"
"15407","Закупка завершена","Поставка легкого автомобиля марки Chevrolet Niva комплектации GLS или эквивалент"
"15408","Закупка завершена","Закупка легкового автомобиля."
"15409","Работа комиссии","АЭ-6097/14 на поставку автомобиля бортового грузопассажирского повышенной проходимости"
"15410","Закупка завершена","Поставка легкового автомобиля для нужд администрации Пушкинского муниципального образования"
"15411","Закупка завершена","«Приобретение легкового автомобиля для Муниципального Казенного Учреждения «Хозяйственная служба администрации Воротынского района»"
"15412","Закупка завершена","Приобретение легкового автомобиля для нужд Администрации Черняевского сельского поселения Тарского муниципального района Омской области"
"15413","Закупка завершена","поставка (приобретение) легкового автомобиля"
"15414","Закупка завершена","Поставка автотранспортного средства"
"15415","Закупка завершена","№ 1741 - А Поставка автобуса малого класса, для нужд государственного бюджетного учреждения Республики Адыгея «Комплексный центр социального обслуживания населения в городе Адыгейске» (закупка у субъектов малого предпринимательства, социально ориентированных некоммерческих организаций)"
"15416","Закупка завершена","Поставка автомобиля легкового для нужд краевого государственного бюджетного учреждения ""Хабаровский психоневрологический интернат"""
"15417","Закупка завершена","Поставка автомобиля легкового"
"15418","Закупка завершена","Поставка легкового автомобиля"
"15419","Работа комиссии","Поставка легкового автомобиля."
"15420","Закупка завершена","Поставка автобуса для перевозки школьников"
"15421","Закупка завершена","Поставка автомобиля для нужд Государственного бюджетного учреждения культуры Тверской области ""Тверской государственный объединенный музей"""
"15422","Закупка завершена","Поставка легкового автомобиля для нужд Управления строительства и инженерной инфраструктуры администрации Красноармейского муниципального района (конкретные показатели)"
"15423","Закупка завершена","на право заключения контракта на модернизацию материально-технической базы Областного наркодиспансера в целях совершенствования медицинской помощи наркологическим больным (поставка автомобиля скорой медицинской помощи класса ""А"")"
"15424","Закупка завершена","№ 1490-А Поставка автомобиля повышенной проходимости для Управления по охране и использованию объектов животного мира и водных биологических ресурсов Республики Адыгея"
"15425","Закупка завершена","Поставка автомобиля"
"15426","Закупка завершена","Поставка транспортного средства для перевозки инвалидов для нужд Сахалинской области"
"15427","Закупка завершена","Поставка автомобиля для Тайшетского городского поселения"
"15428","Закупка завершена","Поставка автотранспорта для нужд поселения Становлянский сельсовет"
"15429","Закупка завершена","приобретение автомобиля для нужд Московского областного суда"
"15430","Работа комиссии","поставка легкового автомобиля"
"15431","Закупка завершена","приобретение легкового автотранспортного средства Renault Logan (Рено Логан) для нужд администрации городского поселения"
"15432","Закупка завершена","Легковые автомобили с колесной формулой 4х4 и 4х2"
"15433","Закупка завершена","Приобретение автотранспорта класса ""Д"""
"15434","Закупка завершена","поставка легкового автомобиля"
"15435","Закупка завершена","№ 1725 - А Поставка легковых автомобилей"
"15436","Закупка завершена","Поставка автомобильной техники (легковой автомобиль повышенной проходимости) - ""Безопасность Подмосковья"""
"15437","Закупка завершена","определение поставщика подрядчика исполнителя и заключения с ним муниципального контракта на поставку транспортного средства УАЗ Патриот Комфорт или эквивалент с полной комплектацией для нужд Дулгалахской наслежной администрации Верхоянского района Республики Саха Якутия"
