,Название,Тип:,"Электрическая мощность,  Мвт",Годовая выработка электричества:,Город:,Координаты:,"Тепловая мощность, Гкал/ч",Отпуск т/э с коллекторов:,КИУМ электрической мощности:,Адрес:,Удельный расход условного топлива на э/э (УРУТ э.э.):,Удельный расход условного топлива на т/э (УРУТ т.э.):,"Электрическая мощность, Гкал/ч","Тепловой коэффициент, Гкал/МВт*ч"
316,Уруссинская ГРЭС, Теплоэлектроцентраль ,161.0, 345.99 млн. кВт*ч, Уруссу, Широта: 54.599167 Долгота: 53.479167,127.0,,," 423950 Республика Татарстан, п.г.т. Уруссу, ул. Уруссинская, д.67",,,138.435045,0.7888198757763976
317,Сочинская ТЭС, Теплоэлектроцентраль ,160.5, 991.97 млн. кВт*ч, Сочи, Широта: 43.594722 Долгота: 39.754444,50.0, 0 тыс. Гкал, 66.62 %,, 266.30 г/кВт•ч,,138.0051225,0.3115264797507788
318,ТЭЦ ЭВС-2, Теплоэлектроцентраль ,160.0,, Череповец, Широта: 59.127560 Долгота: 37.829104,,,,,,,137.5752,
319,Талаховская ТЭС, Тепловая электростанция ,160.0,, Советск, Широта: 55.094406 Долгота: 21.801252,,,,,,,137.5752,
320,Верхне-Свирская ГЭС, Гидроэлектростанция ,160.0, 589.30 млн. кВт*ч, Подпорожье, Широта: 60.920422 Долгота: 34.190483,,,,,,,137.5752,
321,Маяковская ТЭС, Тепловая электростанция ,160.0,, Гусев, Широта: 54.570868 Долгота: 22.182512,,,,,,,137.5752,
322,Ростовская ТЭЦ-2, Теплоэлектроцентраль ,160.0, 836.47 млн. кВт*ч, Ростов-на-Дону, Широта: 47.216111 Долгота: 39.579444,792.0,,," 344055 Ростовская область, г. Ростов на Дону ул. Пескова, 17",,,137.5752,4.95
323,Ефремовская ТЭЦ, Теплоэлектроцентраль ,160.0, 340.53 млн. кВт*ч, Ефремов, Широта: 53.157329 Долгота: 38.117924,720.0,,,,,,137.5752,4.5
324,Нива ГЭС-3, Гидроэлектростанция ,155.5, 850 млн. кВт*ч, Кандалакша, Широта: 67.220278 Долгота: 32.438333,,,," Мурманская обл., г. Кандалакша, ул. Чкалова, 42/18",,,133.7058975,
325,Центральная ТЭЦ (ЭС-2), Теплоэлектроцентраль ,155.0, 110.89 млн. кВт*ч, Санкт-Петербург, Широта: 59.934167 Долгота: 30.387500,1567.0, 2 367.90 тыс. Гкал, 30 %," Санкт-Петербург, Новгородская ул., 11",,,133.275975,10.109677419354838
326,Центральная ТЭЦ (ЭС-1), Теплоэлектроцентраль ,155.0, 110.89 млн. кВт*ч, Санкт-Петербург, Широта: 59.906893 Долгота: 30.334421,1567.0, 2 367.90 тыс. Гкал, 30 %," Санкт-Петербург, набережная Обводного канала, 76",,,133.275975,10.109677419354838
327,Центральная ТЭЦ (ЭС-3), Котельная ,155.0, 110.89 млн. кВт*ч, Санкт-Петербург, Широта: 59.922809 Долгота: 30.324031,1567.0, 2 367.90 тыс. Гкал, 30 %," Санкт-Петербург, набережная реки Фонтанки, 104",,,133.275975,10.109677419354838
328,Полярная ГТЭС, Тепловая электростанция ,154.0,, Красноярск, Широта: 67.734547 Долгота: 83.432390,,,,,,,132.41613,
329,"ГТУ ТЭС ООО ""РН-Туапсинский НПЗ""", Тепловая электростанция ,153.0,, Туапсе, Широта: 44.105499 Долгота: 39.100342,,,,,,,131.556285,
330,Княжегубская ГЭС, Гидроэлектростанция ,152.0, 706 млн. кВт*ч, Кандалакша, Широта: 66.863806 Долгота: 32.376028,,,," Мурманская обл., г. Кандалакша, ул. Чкалова, 42/18",,,130.69644,
331,Оренбургская ВЭС, Ветряная электростанция ,150.0,, Оренбург, указать местонахождение электростанции,,,," г. Оренбург, Оренбургская область",,,128.97674999999998,
332,"ВЭС ""Приморско-Ахтарская""", Ветряная электростанция ,150.0,, Приморско-Ахтарск, указать местонахождение электростанции,,,,,,,128.97674999999998,
333,Серебрянская ГЭС-2, Гидроэлектростанция ,150.0, 519 млн. кВт*ч, Мурманск, Широта: 68.986944 Долгота: 35.697778,,,," Мурманская обл., г. Кола, ул. Андрусенко, д. 10",,,128.97674999999998,
334,УТЭЦ НЛМК, Теплоэлектроцентраль ,150.0,, Липецк, Широта: 52.529584 Долгота: 39.647813,,,,,,,128.97674999999998,
335,Приморская ТЭС, Тепловая электростанция ,150.0,, Светлый, Широта: 54.690602 Долгота: 20.284882,,,,,,,128.97674999999998,
336,Приютненская ВЭС, Ветряная электростанция ,150.0,,, указать местонахождение электростанции,,,," Приютненский район, Республика Калмыкия",,,128.97674999999998,
337,"ТЭЦ ОАО ""ЕВРАЗ НТМК""", Теплоэлектроцентраль ,149.9,, Нижний Тагил, Широта: 57.919635 Долгота: 60.007625,,,," 622025, Свердловская область, г. Нижний Тагил, ул. Металлургов, 1",,,128.8907655,
338,Буденновская ТЭС, Тепловая электростанция ,149.9, 1 053 млн. кВт*ч, Буденовск, Широта: 44.829061 Долгота: 44.106417,58.0, 352 тыс. Гкал,,,,,128.8907655,0.3869246164109406
339,Улан-Удэнская ТЭЦ-1, Теплоэлектроцентраль ,148.77, 442.80 млн. кВт*ч, Улан-Удэ, Широта: 51.832719 Долгота: 107.615083,688.0, 1 595.70 тыс. Гкал,,,,,127.91914065,4.624588290649997
340,Соликамская ТЭЦ, Теплоэлектроцентраль ,144.7,, Соликамск, Широта: 59.695698 Долгота: 56.674991,,,,,,,124.41957149999999,
341,Шовгеновский ветропарк, Ветряная электростанция ,144.0,,, указать местонахождение электростанции,,,," Заревское сельское поселение, Хакуринохабльское сельское поселение, Мамхегское сельское поселение и Джерокайское сельское поселение, Шо",,,123.81768,
342,Богословская ТЭЦ, Теплоэлектроцентраль ,141.0, 576.49 млн. кВт*ч, Краснотурьинск, Широта: 59.781389 Долгота: 60.175556,1045.0,,,,,,121.238145,7.411347517730497
343,Томская ТЭЦ-3, Теплоэлектроцентраль ,140.0, 775.02 млн. кВт*ч, Томск, Широта: 56.621111 Долгота: 85.042222,780.0,, 63.50 %,, 268.39 г/кВт•ч, 131.72 кг/Гкал,120.3783,5.571428571428571
344,ТЭЦ Восточная, Теплоэлектроцентраль ,139.5,, Владивосток, Широта: 43.136346 Долгота: 131.943135,421.0,,,,,,119.94837749999999,3.017921146953405
345,Вологодская ТЭЦ, Теплоэлектроцентраль ,136.1, 167.53 млн. кВт*ч, Вологда, Широта: 59.195000 Долгота: 39.938889,652.0,,,,,,117.02490449999999,4.790595150624541
346,"ГТЭС ""Коломенское""", Газотурбинная электростанция ,135.9,,, Широта: 55.649027 Долгота: 37.641102,171.0,,,,,,116.8529355,1.2582781456953642
347,Василеостровская ТЭЦ-7, Теплоэлектроцентраль ,135.0, 707.38 млн. кВт*ч, Санкт-Петербург, Широта: 59.925278 Долгота: 30.246944,1113.0, 1 663.37 тыс. Гкал, 59.80 %," Санкт-Петербург, Кожевенная линия, 33",,,116.07907499999999,8.244444444444444
348,Ярославская ТЭЦ-1, Теплоэлектроцентраль ,131.0, 393.77 млн. кВт*ч, Ярославль, Широта: 57.649444 Долгота: 39.876111,697.0,,,,,,112.63969499999999,5.320610687022901
349,Николаевская ТЭЦ, Теплоэлектроцентраль ,130.6, 248.23 млн. кВт*ч, Николаевск-на-Амуре, Широта: 53.134722 Долгота: 140.724389,321.2, 348.98 тыс. Гкал, 22.97 %,, 513.40 г/кВт•ч,,112.295757,2.459418070444104
350,Верхнетериберская ГЭС, Гидроэлектростанция ,130.0, 236 млн. кВт*ч, Мурманск, Широта: 69.091231 Долгота: 35.041816,,,," Мурманская обл., г. Кола, ул. Андрусенко, д. 10",,,111.77985,
351,ПГУ «Строгино», Тепловая электростанция ,130.0,, Москва, Широта: 55.791698 Долгота: 37.384876,,,,,,,111.77985,
352,Дорогобужская ТЭЦ, Теплоэлектроцентраль ,128.0, 118.47 млн. кВт*ч, Дорогобуж, Широта: 54.987611 Долгота: 33.376083,282.2,,,,,,110.06016,2.2046875
353,Воронежская ТЭЦ-2, Теплоэлектроцентраль ,127.0, 690 млн. кВт*ч, Воронеж, Широта: 51.686715 Долгота: 39.157746,785.0,,,,,,109.20031499999999,6.181102362204724
354,Благовещенская ВЭС-2, Ветряная электростанция ,126.0,, Благовещенская, указать местонахождение электростанции,,,,,,,108.34047,
355,ГТЭС Щербинка, Газотурбинная электростанция ,125.0,, Москва, указать местонахождение электростанции,,,,,,,107.480625,
356,Нарвская ГЭС, Гидроэлектростанция ,124.8, 1 270.02 млн. кВт*ч, Ивангород, Широта: 59.367778 Долгота: 28.210556,,, 47.30 %," Ленинградская обл., Ивангород, ул. Маяковского, 5",,,107.308656,
357,Благовещенская ВЭС-1, Ветряная электростанция ,123.0,, Благовещенская, указать местонахождение электростанции,,,,,,,105.76093499999999,
358,Ноябрьская ПГЭ, Теплоэлектроцентраль ,122.6,, Ноябрьск, Широта: 63.186563 Долгота: 75.403758,95.0,,, Сибирская ул.,,,105.416997,0.7748776508972268
359,Светогорская ГЭС, Гидроэлектростанция ,122.0, 554.60 млн. кВт*ч, Светогорск, Широта: 61.104400 Долгота: 28.839400,,,," Ленинградская обл., г. Светогорск, ул. Каскадная, 1",,,104.90109,
360,Красногорская ТЭЦ, Теплоэлектроцентраль ,121.0, 472.88 млн. кВт*ч, Каменск-Уральский, Широта: 56.365440 Долгота: 61.970143,1006.0,,,,,,104.041245,8.314049586776859
361,Кумертауская ТЭЦ, Теплоэлектроцентраль ,120.0, 523.58 млн. кВт*ч, Кумертау, Широта: 52.771461 Долгота: 55.823126,328.0, 477.35 тыс. Гкал,,,, 159.70 кг/Гкал,103.1814,2.7333333333333334
362,ТЭЦ в г. Советская Гавань, Теплоэлектроцентраль ,120.0, 561 млн. кВт*ч, Советская Гавань, Широта: 48.967597 Долгота: 140.282364,200.0,,,,,,103.1814,1.6666666666666667
363,Угличская ГЭС, Гидроэлектростанция ,120.0, 240 млн. кВт*ч, Углич, Широта: 57.527500 Долгота: 38.297778,,,," 152917, Ярославская область, г. Рыбинск, ул. Вяземского, 31",,,103.1814,
364,Пулковская ТЭЦ, Теплоэлектроцентраль ,120.0,, Санкт-Петербург, указать местонахождение электростанции,,,,,,,103.1814,
365,Лесогорская ГЭС, Гидроэлектростанция ,118.0, 613 млн. кВт*ч, Выборг, Широта: 61.058500 Долгота: 28.873400,,,," Ленинградская обл., г. Светогорск, ул. Каскадная, 1",,,101.46171,
366,ТЭЦ Северо-Западного района, Теплоэлектроцентраль ,116.9,, Курск, Широта: 51.765965 Долгота: 36.138945,710.0,,,,,,100.5158805,6.073567151411463
367,Барабинская ТЭЦ, Теплоэлектроцентраль ,114.0, 155.59 млн. кВт*ч, Куйбышев, Широта: 55.447778 Долгота: 78.365556,293.0,,,,,,98.02233,2.5701754385964914
368,"ГТЭС-72 ""Ямбургская""", Газотурбинная электростанция ,112.0,, Ямбург, Широта: 67.868654 Долгота: 75.540368,,,,,,,96.30264,
369,Нижегородская ГРЭС, Теплоэлектроцентраль ,112.0, 593.17 млн. кВт*ч, Балахна, Широта: 56.500833 Долгота: 43.586111,438.0,,,,,,96.30264,3.9107142857142856
370,Омский ветропарк, Ветряная электростанция ,110.0,,, указать местонахождение электростанции,,,, Омская область,,,94.58295,
